Foton,Harabas TM 300 MPV Premium Dual AC,Foton Harabas TM 300 MPV Premium Dual AC,"P 1,065,000 (MT)"
Foton,Harabas TM 300 MPV Imperium,Foton Harabas TM 300 MPV Imperium,"P 1,283,000 (MT)"
Foton,Thunder 4x2,Foton Thunder 4x2,"P 1,180,000 (MT)"
Foton,Thunder 4x2,Foton Thunder 4x2,"P 1,350,000 (AT)"
Foton,Thunder 4x4,Foton Thunder 4x4,"P 1,298,000 (MT)"
Foton,Toano,Foton Toano,"P 2,160,000 (MT)"
Foton,Toano Executive,Foton Toano Executive,"P 2,590,000 (MT)"
Foton,Toplander 4x2 EL,Foton Toplander 4x2 EL,"P 1,388,000 (AT)"
Foton,Toplander 4x2 EX,Foton Toplander 4x2 EX,"P 1,488,000 (AT)"
Foton,Tornado M2EE4 Cab & Chassis,Foton Tornado M2EE4 Cab & Chassis,"P 915,000 (MT)"
Foton,Tornado M2EE4 Dropside,Foton Tornado M2EE4 Dropside,"P 985,000 (MT)"
Foton,Tornado M2EE4 F-Van,Foton Tornado M2EE4 F-Van,"P 1,070,000 (MT)"
Foton,Tornado M2EE4 MPV,Foton Tornado M2EE4 MPV,"P 1,155,000 (MT)"
Foton,Tornado 2.4C Cab & Chassis,Foton Tornado 2.4C Cab & Chassis,"P 1,025,000 (MT)"
Foton,Tornado 2.4C F-Jeepney,Foton Tornado 2.4C F-Jeepney,"P 2,015,000 (MT)"
Foton,Tornado M2.6C Cab & Chassis,Foton Tornado M2.6C Cab & Chassis,"P 1,120,000 (MT)"
Foton,Tornado M2.6C Dropside,Foton Tornado M2.6C Dropside,"P 1,190,000 (MT)"
Foton,Tornado M2.6C F-Van,Foton Tornado M2.6C F-Van,"P 1,275,000 (MT)"
Foton,Tornado M2.6C MPV,Foton Tornado M2.6C MPV,"P 1,360,000 (MT)"
Foton,Tornado M4.2C Cab & Chassis,Foton Tornado M4.2C Cab & Chassis,"P 1,285,000 (MT)"
Foton,Tornado M4.2C Dropside,Foton Tornado M4.2C Dropside,"P 1,355,000 (MT)"
Foton,Tornado M4.2C F-Van,Foton Tornado M4.2C F-Van,"P 1,490,000 (MT)"
Foton,Tornado M4.2C F-Jeepney,Foton Tornado M4.2C F-Jeepney,"P 2,510,000 (MT)"
Foton,Tornado M5.2C Cab & Chassis,Foton Tornado M5.2C Cab & Chassis,"P 1,440,000 (MT)"
Foton,Tornado M5.2C Dropside,Foton Tornado M5.2C Dropside,"P 1,545,000 (MT)"
Foton,Tornado M5.2C F-Van,Foton Tornado M5.2C F-Van,"P 1,675,000 (MT)"
Foton,Transvan 13-Seater,Foton Transvan 13-Seater,"P 1,290,000 (MT)"
Foton,Transvan 15-Seater,Foton Transvan 15-Seater,"P 1,290,000 (MT)"
Foton,Traveller 16-Seater,Foton Traveller 16-Seater,"P 1,600,000 (MT)"
Foton,Traveller XL 19-Seater,Foton Traveller XL 19-Seater,"P 1,750,000 (MT)"
GAC,EMKOO 1.5T GE,GAC EMKOO 1.5T GE,"P 1,298,000 (AT)"
GAC,EMKOO 1.5T GL,GAC EMKOO 1.5T GL,"P 1,498,000 (AT)"
GAC,EMPOW 1.5T GS,GAC EMPOW 1.5T GS,"P 1,225,000 (AT)"
GAC,EMPOW 1.5T GB,GAC EMPOW 1.5T GB,"P 1,305,000 (AT)"
GAC,EMPOW 1.5T GE,GAC EMPOW 1.5T GE,"P 1,348,000 (AT)"
GAC,GS3 1.5 GS,GAC GS3 1.5 GS,"P 898,000 (AT)"
GAC,GS3 1.5 GB,GAC GS3 1.5 GB,"P 968,000 (AT)"
GAC,GS3 EMZOOM 1.5T GS,GAC GS3 EMZOOM 1.5T GS,"P 998,000 (AT)"
GAC,GS3 EMZOOM 1.5T GB,GAC GS3 EMZOOM 1.5T GB,"P 1,098,000 (AT)"
GAC,"GS3 EMZOON 1,5T GL","GAC GS3 EMZOON 1,5T GL","P 1,198,000 (AT)"
GAC,GS4 1.5 GB,GAC GS4 1.5 GB,"P 1,160,000 (AT)"
